FPGA Time,Match Time,Theta,Left Front Absolute,Left Front Assumed,Right Front Absolute,Right Front Assumed,Left Rear Absolute,Left Rear Assumed,Right Rear Absolute,Right Rear Assumed,ClimberCmd,LeftIntakeCmd,RightIntakeCmd,LeftShooterSpeed,RightShooterSpeed,targetRPM,climberState,actualPosTicks,actualPosDeg,targetPosDeg,targetPosTicks,shooterError,hoodPosition,TargetX,TargetY,TargetTheta,Robot State Theta,poseX,poseY,Compressor Cur,ClimberSpeed,ClimberCurrent,X Pigeon,Y Pigeon,Z Pigeon,Pitch,
4.214008,-1.0,353.00445556640625,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,353.00445556640625,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.1318359375,
4.223175,-1.0,353.001708984375,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,353.001708984375,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1318359375,
4.232278,-1.0,353.001708984375,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,353.001708984375,0.0,0.0,0.0,0.0,0.1,0.0,0.06097560975609757,0.06097560975609757,0.1318359375,
4.24438,-1.0,353.001708984375,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,353.001708984375,0.0,0.0,0.0,0.0,0.1,0.0,0.06097560975609757,0.06097560975609757,0.1318359375,
4.256343,-1.0,353.001708984375,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,353.001708984375,0.0,0.0,0.0,0.0,0.1,0.0,0.06097560975609757,0.06097560975609757,0.1318359375,
4.265304,-1.0,353.001708984375,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,353.001708984375,0.0,0.0,0.0,0.0,0.1,0.0,0.06097560975609757,0.06097560975609757,0.1318359375,
4.275084,-1.0,353.001708984375,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,353.001708984375,0.0,0.0,0.0,0.0,0.1,0.0,0.06097560975609757,0.06097560975609757,0.1318359375,
4.282723,-1.0,353.001708984375,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,353.001708984375,0.0,0.0,0.0,0.0,0.1,-0.06097560975609757,0.06097560975609757,0.0,0.1318359375,
4.292047,-1.0,353.001708984375,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,353.001708984375,0.0,0.0,0.0,0.0,0.1,-0.06097560975609757,0.06097560975609757,0.0,0.1318359375,
4.300014,-1.0,353.001708984375,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,353.001708984375,0.0,0.0,0.0,0.0,0.1,-0.06097560975609757,0.06097560975609757,0.0,0.1318359375,
4.307786,-1.0,353.001708984375,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,353.001708984375,0.0,0.0,0.0,0.0,0.1,-0.06097560975609757,0.06097560975609757,0.0,0.1318359375,
4.316347,-1.0,353.001708984375,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,353.001708984375,0.0,0.0,0.0,0.0,0.1,-0.06097560975609757,0.06097560975609757,0.0,0.1318359375,
4.325584,-1.0,353.001708984375,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,353.001708984375,0.0,0.0,0.0,0.0,0.09,-0.06097560975609757,0.06097560975609757,0.0,0.1318359375,
4.334936,-1.0,353.001708984375,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,353.001708984375,0.0,0.0,0.0,0.0,0.09,-0.06097560975609757,0.0,0.0,0.1318359375,
4.35787,-1.0,353.001708984375,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,353.001708984375,0.0,0.0,0.0,0.0,0.09,-0.06097560975609757,0.0,0.0,0.1318359375,
4.373932,-1.0,353.001708984375,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,353.001708984375,0.0,0.0,0.0,0.0,0.09,-0.06097560975609757,0.0,0.0,0.1318359375,
4.381623,-1.0,353.00445556640625,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,353.00445556640625,0.0,0.0,0.0,0.0,0.09,-0.06097560975609757,0.0,0.0,0.1318359375,
4.390712,-1.0,353.00445556640625,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,353.00445556640625,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.1318359375,
4.39858,-1.0,353.00445556640625,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,353.00445556640625,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.1318359375,
4.406865,-1.0,353.00445556640625,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,353.00445556640625,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.1318359375,
4.415213,-1.0,353.00445556640625,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,353.00445556640625,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.1318359375,
4.423462,-1.0,353.00445556640625,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,353.00445556640625,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.1318359375,
